-----------------------------------------------------------------------------------------
---  TAG: Peso003
---  Date: 2020/05/07 16:33:00 - 2020/05/14 16:33:00
---  TimeZone: (UTC+01:00)
-----------------------------------------------------------------------------------------

DATE;VALUE;STATE;STATE DETAIL
14/05/2020 09:07:34.013;40140;0;
14/05/2020 09:07:35.020;40140;0;
14/05/2020 09:07:36.026;40140;0;
14/05/2020 09:07:37.032;40140;0;
14/05/2020 09:07:38.039;40140;0;
14/05/2020 09:07:39.044;40140;0;
14/05/2020 09:07:40.052;40140;0;
14/05/2020 09:07:41.059;40140;0;
14/05/2020 09:07:42.065;40140;0;
14/05/2020 09:07:43.070;40140;0;
14/05/2020 09:07:44.078;40140;0;
14/05/2020 09:07:45.094;40140;0;
14/05/2020 09:07:46.097;40140;0;
14/05/2020 09:07:47.098;40180;0;
14/05/2020 09:07:48.105;40140;0;
14/05/2020 09:07:49.112;40140;0;
14/05/2020 09:07:50.113;40140;0;
14/05/2020 09:07:51.118;40140;0;
14/05/2020 09:07:52.134;40140;0;
14/05/2020 09:07:53.136;40140;0;
14/05/2020 09:07:54.140;40140;0;
14/05/2020 09:07:55.146;40140;0;
14/05/2020 09:07:56.152;40140;0;
14/05/2020 09:07:57.157;40140;0;
14/05/2020 09:07:58.158;40140;0;
14/05/2020 09:07:59.162;40140;0;
14/05/2020 09:08:00.169;40140;0;
14/05/2020 09:08:01.176;40140;0;
14/05/2020 09:08:02.180;40140;0;
14/05/2020 09:08:03.182;40140;0;
14/05/2020 09:08:04.190;40140;0;
14/05/2020 09:08:05.197;40140;0;
14/05/2020 09:08:06.203;40140;0;
14/05/2020 09:08:07.204;40140;0;
14/05/2020 09:08:08.211;40140;0;
14/05/2020 09:08:09.217;40140;0;
14/05/2020 09:08:10.219;40140;0;
14/05/2020 09:08:11.235;40140;0;
14/05/2020 09:08:12.250;40140;0;
14/05/2020 09:08:13.254;40140;0;
14/05/2020 09:08:14.256;40140;0;
14/05/2020 09:08:15.258;40140;0;
14/05/2020 09:08:16.263;40140;0;
14/05/2020 09:08:17.265;40140;0;
14/05/2020 09:08:18.267;40140;0;
14/05/2020 09:08:19.273;40140;0;
14/05/2020 09:08:20.295;40140;0;
14/05/2020 09:08:21.301;40140;0;
14/05/2020 09:08:22.304;40140;0;
14/05/2020 09:08:23.311;40140;0;
14/05/2020 09:08:24.313;40140;0;
14/05/2020 09:08:25.318;40140;0;
14/05/2020 09:08:26.321;40140;0;
14/05/2020 09:08:27.325;40140;0;
14/05/2020 09:08:28.333;40140;0;
14/05/2020 09:08:29.339;40140;0;
14/05/2020 09:08:30.341;40140;0;
14/05/2020 09:08:31.348;40140;0;
14/05/2020 09:08:32.349;40140;0;
14/05/2020 09:08:33.355;40140;0;
14/05/2020 09:08:34.363;40120;0;
14/05/2020 09:08:35.367;40120;0;
14/05/2020 09:08:36.369;40120;0;
14/05/2020 09:08:37.373;40140;0;
14/05/2020 09:08:38.377;40140;0;
14/05/2020 09:08:39.379;40120;0;
14/05/2020 09:08:40.381;40140;0;
14/05/2020 09:08:41.388;40140;0;
14/05/2020 09:08:42.395;40120;0;
14/05/2020 09:08:43.401;40120;0;
14/05/2020 09:08:44.406;40120;0;
14/05/2020 09:08:45.413;40120;0;
14/05/2020 09:08:46.416;40120;0;
14/05/2020 09:08:47.416;40140;0;
14/05/2020 09:08:48.422;40140;0;
14/05/2020 09:08:49.426;40140;0;
14/05/2020 09:08:50.431;40140;0;
14/05/2020 09:08:51.436;40160;0;
14/05/2020 09:08:52.440;40240;0;
14/05/2020 09:08:53.456;40240;0;
14/05/2020 09:08:54.458;40140;0;
14/05/2020 09:08:55.465;40140;0;
14/05/2020 09:08:56.470;40140;0;
14/05/2020 09:08:57.472;40140;0;
14/05/2020 09:08:58.475;40140;0;
14/05/2020 09:08:59.491;40140;0;
14/05/2020 09:09:00.494;40140;0;
14/05/2020 09:09:01.500;40140;0;
14/05/2020 09:09:02.506;40140;0;
14/05/2020 09:09:03.521;40140;0;
14/05/2020 09:09:04.525;40120;0;
14/05/2020 09:09:05.531;40120;0;
14/05/2020 09:09:06.535;40120;0;
14/05/2020 09:09:07.551;40140;0;
14/05/2020 09:09:08.555;40140;0;
14/05/2020 09:09:09.563;40140;0;
14/05/2020 09:09:10.570;40140;0;
14/05/2020 09:09:11.571;40140;0;
14/05/2020 09:09:12.578;40140;0;
14/05/2020 09:09:13.579;40140;0;
14/05/2020 09:09:14.581;40140;0;
14/05/2020 09:09:15.585;40120;0;
14/05/2020 09:09:16.586;40120;0;
14/05/2020 09:09:17.589;40120;0;
14/05/2020 09:09:18.596;40120;0;
14/05/2020 09:09:19.603;40120;0;
14/05/2020 09:09:20.604;40120;0;
14/05/2020 09:09:21.611;40120;0;
14/05/2020 09:09:22.617;40120;0;
14/05/2020 09:09:23.623;40140;0;
14/05/2020 09:09:24.628;40140;0;
14/05/2020 09:09:25.631;40140;0;
14/05/2020 09:09:26.637;40140;0;
14/05/2020 09:09:27.645;40140;0;
14/05/2020 09:09:28.651;40140;0;
14/05/2020 09:09:29.656;40140;0;
14/05/2020 09:09:30.660;40200;0;
14/05/2020 09:09:31.666;40140;0;
14/05/2020 09:09:32.681;40140;0;
14/05/2020 09:09:33.684;40200;0;
14/05/2020 09:09:34.686;40140;0;
14/05/2020 09:09:35.693;40140;0;
14/05/2020 09:09:36.699;40140;0;
14/05/2020 09:09:37.715;40140;0;
14/05/2020 09:09:38.731;40200;0;
14/05/2020 09:09:39.735;40240;0;
14/05/2020 09:09:40.742;40240;0;
14/05/2020 09:09:41.749;40220;0;
14/05/2020 09:09:42.752;40220;0;
14/05/2020 09:09:43.753;40220;0;
14/05/2020 09:09:44.757;40220;0;
14/05/2020 09:09:45.759;40240;0;
14/05/2020 09:09:46.761;40240;0;
14/05/2020 09:09:47.765;40220;0;
14/05/2020 09:09:48.768;40240;0;
14/05/2020 09:09:49.774;40160;0;
14/05/2020 09:09:50.778;40200;0;
14/05/2020 09:09:51.782;40200;0;
14/05/2020 09:09:52.784;40200;0;
14/05/2020 09:09:53.786;40200;0;
14/05/2020 09:09:54.787;40200;0;
14/05/2020 09:09:55.794;40220;0;
14/05/2020 09:09:56.800;40200;0;
14/05/2020 09:09:57.802;40220;0;
14/05/2020 09:09:58.809;40260;0;
14/05/2020 09:09:59.815;40240;0;
14/05/2020 09:10:00.822;40240;0;
14/05/2020 09:10:01.828;40260;0;
14/05/2020 09:10:02.834;40260;0;
14/05/2020 09:10:03.839;40240;0;
14/05/2020 09:10:04.844;40220;0;
14/05/2020 09:10:05.849;40220;0;
14/05/2020 09:10:06.856;40220;0;
14/05/2020 09:10:07.863;40240;0;
14/05/2020 09:10:08.869;40240;0;
14/05/2020 09:10:09.875;40120;0;
14/05/2020 09:10:10.882;40220;0;
14/05/2020 09:10:11.887;40320;0;
14/05/2020 09:10:12.895;38620;0;
14/05/2020 09:10:13.903;33460;0;
14/05/2020 09:10:14.904;33440;0;
14/05/2020 09:10:15.910;33280;0;
14/05/2020 09:10:16.913;22640;0;
14/05/2020 09:10:17.919;22820;0;
14/05/2020 09:10:18.920;18260;0;
14/05/2020 09:10:19.922;12920;0;
14/05/2020 09:10:20.928;7600;0;
14/05/2020 09:10:21.935;40;0;
14/05/2020 09:10:22.939;0;0;
14/05/2020 09:10:32.996;5240;0;
14/05/2020 09:10:34.001;5680;0;
14/05/2020 09:10:35.004;5720;0;
14/05/2020 09:10:36.012;5740;0;
14/05/2020 09:10:37.016;9340;0;
14/05/2020 09:10:38.020;9420;0;
14/05/2020 09:10:39.021;9440;0;
14/05/2020 09:10:40.028;9460;0;
14/05/2020 09:10:41.035;9460;0;
14/05/2020 09:10:42.038;9480;0;
14/05/2020 09:10:43.042;14060;0;
14/05/2020 09:10:44.046;14060;0;
14/05/2020 09:10:45.050;14100;0;
14/05/2020 09:10:46.056;14040;0;
14/05/2020 09:10:47.062;14040;0;
14/05/2020 09:10:48.064;14040;0;
14/05/2020 09:10:49.071;14080;0;
14/05/2020 09:10:50.078;14060;0;
14/05/2020 09:10:51.081;14060;0;
14/05/2020 09:10:52.086;14060;0;
14/05/2020 09:10:53.093;14060;0;
14/05/2020 09:10:54.095;14060;0;
14/05/2020 09:10:55.100;14060;0;
14/05/2020 09:10:56.115;14060;0;
14/05/2020 09:10:57.117;14060;0;
14/05/2020 09:10:58.133;14060;0;
14/05/2020 09:10:59.135;14060;0;
14/05/2020 09:11:00.139;14060;0;
14/05/2020 09:11:01.144;14040;0;
14/05/2020 09:11:02.152;14040;0;
14/05/2020 09:11:03.159;14040;0;
14/05/2020 09:11:04.162;14040;0;
14/05/2020 09:11:05.166;14000;0;
14/05/2020 09:11:06.170;13960;0;
14/05/2020 09:11:07.174;13960;0;
